Nachbarschaft,Qualitaet,Zustand,Baujahr,Wohnflaeche,Zimmer,Kamine,Verkaufsjahr,Preis
StoneBr,9,2,2010,1856,8,1,2010,394432
Somerst,8,5,2010,1418,6,1,2010,267916
CollgCr,7,5,2010,1222,6,0,2010,187000
NridgHt,9,5,2009,2334,10,1,2010,376162
NridgHt,9,5,2009,1940,8,1,2010,395192
NridgHt,8,5,2009,1544,7,0,2010,290941
NridgHt,9,5,2009,2364,11,2,2010,611657
NridgHt,7,5,2009,1358,6,1,2010,224000
Somerst,7,5,2009,1218,4,0,2010,204500
Somerst,7,5,2009,1547,7,0,2010,215200
Somerst,7,5,2009,1478,7,1,2010,222000
Edwards,6,5,2009,1212,6,0,2010,186000
Edwards,7,5,2009,1508,5,2,2010,308030
CollgCr,7,5,2009,1226,6,0,2010,198900
Timber,7,5,2009,1214,6,0,2010,179781
Timber,8,5,2009,1968,8,1,2010,269500
Somerst,8,5,2009,1935,8,0,2009,263435
NridgHt,9,5,2009,2690,8,1,2009,398800
NridgHt,10,5,2009,2020,9,1,2009,402861
NridgHt,7,5,2009,1502,7,0,2009,233170
Somerst,7,5,2009,1852,7,1,2009,252678
Somerst,6,5,2009,1218,4,0,2009,208300
Somerst,8,5,2009,1314,6,0,2009,229456
Somerst,9,5,2009,1766,7,1,2009,370878
Somerst,6,5,2009,1224,4,0,2009,164500
Somerst,6,5,2009,1224,4,0,2009,173733
CollgCr,9,5,2009,1680,8,1,2009,323262
Timber,7,5,2009,1692,6,0,2009,224500
Somerst,8,5,2008,1566,7,0,2010,262500
CollgCr,8,5,2008,1694,7,0,2010,245350
Timber,7,5,2008,1346,6,1,2010,220000
Timber,9,5,2008,2018,10,1,2010,378500
StoneBr,9,5,2008,2234,9,1,2009,501837
StoneBr,8,5,2008,2046,7,1,2009,372500
NridgHt,9,5,2008,3140,11,2,2009,485000
NridgHt,10,5,2008,2402,10,2,2009,555000
NridgHt,8,5,2008,2042,8,1,2009,253293
NridgHt,9,5,2008,2184,10,1,2009,335000
NridgHt,9,5,2008,2020,7,1,2009,404000
NridgHt,10,5,2008,2296,10,1,2009,451950
NridgHt,9,5,2008,2822,12,1,2009,582933
NridgHt,9,5,2008,1736,7,1,2009,360000
NridgHt,9,5,2008,1743,8,1,2009,335000
NridgHt,9,5,2008,1808,7,1,2009,324000
NridgHt,9,5,2008,1884,6,1,2009,320000
NridgHt,9,5,2008,1456,6,1,2009,248500
Somerst,8,5,2008,1468,6,1,2009,244600
Somerst,8,5,2008,1696,7,0,2009,275000
Somerst,8,5,2008,1658,7,1,2009,257500
Somerst,8,5,2008,1578,7,1,2009,287090
Somerst,8,5,2008,1590,6,0,2009,210000
Somerst,7,5,2008,1436,6,0,2009,225000
Somerst,7,5,2008,1402,7,0,2009,229800
Somerst,10,5,2008,2007,10,1,2009,310000
Somerst,8,5,2008,1836,8,1,2009,264500
SawyerW,7,5,2008,1450,6,0,2009,224243
Somerst,6,5,2008,1726,6,1,2009,222000
Somerst,6,5,2008,1256,5,1,2009,195000
CollgCr,8,5,2008,1630,8,1,2009,295493
CollgCr,9,5,2008,1720,8,1,2009,332000
CollgCr,8,5,2008,1468,6,1,2009,239900
CollgCr,8,5,2008,1254,5,0,2009,221800
Timber,9,5,2008,2036,9,1,2009,410000
Timber,9,5,2008,1641,7,0,2009,316500
NridgHt,8,5,2008,1932,7,1,2008,394617
NridgHt,9,5,2008,2713,11,1,2008,446261
NridgHt,9,5,2008,1866,7,1,2008,336860
NridgHt,9,5,2008,1702,7,1,2008,367294
Somerst,9,5,2008,1506,6,1,2008,264132
Somerst,7,5,2008,1428,6,0,2008,227680
OldTown,6,5,2008,1133,7,0,2008,143000
CollgCr,9,5,2008,2276,7,2,2008,475000
CollgCr,9,5,2008,1766,8,2,2008,395039
Edwards,10,5,2008,5642,12,3,2008,160000
Crawfor,8,5,2008,1652,5,1,2008,392500
Timber,7,5,2008,1612,6,0,2008,218689
Edwards,10,5,2008,5095,15,2,2007,183850
NridgHt,8,5,2007,1704,7,1,2010,306000
NridgHt,9,5,2007,2772,10,3,2009,462000
NridgHt,8,5,2007,1600,7,1,2009,256300
NridgHt,10,5,2007,2674,8,2,2009,610000
NridgHt,8,5,2007,2520,10,1,2009,409900
NridgHt,7,5,2007,1358,6,1,2009,212500
NridgHt,7,5,2007,1314,6,1,2009,230000
Blmngtn,7,5,2007,1555,7,1,2009,174000
Blmngtn,7,5,2007,1569,7,1,2009,175900
